revision;ssmergeConfs;linedbasedConfs;ssmergeLOC;linebasedLOC;ssmergeFiles;linebasedFiles;semanticConfs;jdimeConfs;jdimeLOC;jdimeFiles;equalConfs
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_b2d09c3_81b92b2/rev_b2d09c3-81b92b2.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_ebac750_23ae372/rev_ebac750-23ae372.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_6eb844b_523e01b/rev_6eb844b-523e01b.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d9615da_582baf4/rev_d9615da-582baf4.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_64c0e22_356de80/rev_64c0e22-356de80.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_eb12e80_00f21b1/rev_eb12e80-00f21b1.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_098f94f_4e3f659/rev_098f94f-4e3f659.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_d6ec5b6_93f8063/rev_d6ec5b6-93f8063.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_3652c34_901a7f0/rev_3652c34-901a7f0.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_59a62bd_5e8fe94/rev_59a62bd-5e8fe94.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_e22166c_f254889/rev_e22166c-f254889.revisions;0;0;0;0;0;0;0;0;0;0;0
/home/paper219/Desktop/analysis/fullsample//projects/elasticsearch-river-mongodb/revisions/rev_ede39b6_648b71d/rev_ede39b6-648b71d.revisions;0;0;0;0;0;0;0;0;0;0;0
