revision;newArtefactsReferencingEditedOnes
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_494afb6_ae6381b/rev_494afb6-ae6381b.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e0268d5_8b33945/rev_e0268d5-8b33945.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_cbfa4b1_168e709/rev_cbfa4b1-168e709.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e2fd25f_dc834de/rev_e2fd25f-dc834de.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_3098c99_74b22a5/rev_3098c99-74b22a5.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_e47d3b2_51cf9fe/rev_e47d3b2-51cf9fe.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_dbfe87a_f34197b/rev_dbfe87a-f34197b.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_d925581_9424817/rev_d925581-9424817.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a3aa590_586a119/rev_a3aa590-586a119.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b5100ed_ecda6c0/rev_b5100ed-ecda6c0.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_6993149_4fbd676/rev_6993149-4fbd676.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_2f0cb0e_6db9ea3/rev_2f0cb0e-6db9ea3.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_b16ebbd_e72bfc7/rev_b16ebbd-e72bfc7.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_083394f_bf9f1a3/rev_083394f-bf9f1a3.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_083394f_a5591fd/rev_083394f-a5591fd.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_5343529_0ee32dc/rev_5343529-0ee32dc.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_858476c_f6fc9ed/rev_858476c-f6fc9ed.revisions;0
/home/paper219/Desktop/analysis/fullsample//projects/eureka/revisions/rev_a956595_5c985da/rev_a956595-5c985da.revisions;0
